experiment_accession	is_control	biosample	target	run_type	n_files	bio_reps	tech_reps	platform	sex	organism	replication_type
ENCSR937EVN	False	sigmoid colon	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR937OPV	True	heart right ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR938FQG	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR944KAZ	False	stomach	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR945LPX	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR946LTR	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR948DNK	True	stomach		single-ended	6	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR948TOS	False	upper lobe of left lung	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR948YYZ	False	gastrocnemius medialis	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR953ULK	False	fibroblast of breast	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR954IGQ	False	testis	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR954JMZ	False	upper lobe of right lung	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR954ZQC	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR955IXZ	False	KMS-11	H3K27ac	paired-ended	3	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR955OYW	True	spleen		single-ended	4	1	1	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR955XFL	False	trophoblast	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR958BKG	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR958CPV	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR960VLF	True	adrenal gland		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR961QMI	True	heart left ventricle		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR962EJE	True	stomach		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR963LVX	False	chorionic villus	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR966IGL	True	skin epidermis		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR966RWA	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR968MKZ	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR968XKG	True	dorsolateral prefrontal cortex		single-ended	16	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR969HBF	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR971ETA	False	stomach smooth muscle	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR972GGW	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR975PED	True	stomach		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR978XYH	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR979XBX	True	uterus		single-ended	6	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR979YKY	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR980TBV	True	breast epithelium		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR981UJA	False	right lobe of liver	H3K27ac	single-ended	4	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR982AYN	True	foreskin keratinocyte		paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	anisogenic
ENCSR982QIF	False	ascending aorta	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR985CHJ	True	H1		single-ended	1	1	1	Illumina Genome Analyzer II	male	Homo sapiens	unreplicated
ENCSR986ZZK	False	dendritic cell	H3K27ac	paired-ended	1	1	1	Illumina NextSeq 500	unknown	Homo sapiens	unreplicated
ENCSR987FAM	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR987PNT	False	RWPE2	H3K27ac	paired-ended	3	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR988CHU	True	skin epidermis		single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR989PTS	False	heart left ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR993YSN	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR995BPJ	True	mucosa of rectum		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
